Cook Islands,5/21/2021,1.0
Micronesia (country),4/20/2021,1.0
Cote d'Ivoire,3/11/2020,1.0
Nepal,2/27/2020,1.0
Ireland,3/1/2020,1.0
Morocco,3/2/2020,1.0
Marshall Islands,11/9/2020,1.0
Serbia,3/7/2020,1.0
Micronesia (country),2/24/2021,1.0
Mongolia,3/16/2020,1.0
Micronesia (country),12/2/2021,1.0
Marshall Islands,11/5/2020,1.0
Micronesia (country),12/30/2021,1.0
Micronesia (country),4/18/2021,1.0
Paraguay,3/9/2020,1.0
Timor,3/30/2020,1.0
Saint Pierre and Miquelon,7/2/2020,1.0
Central African Republic,3/17/2020,1.0
Cook Islands,8/17/2021,1.0
Micronesia (country),3/10/2021,1.0
Tonga,1/3/2022,1.0
Micronesia (country),5/17/2021,1.0
Yemen,4/27/2020,1.0
Micronesia (country),8/22/2021,1.0
Micronesia (country),1/28/2021,1.0
Nepal,2/21/2020,1.0
Vanuatu,1/30/2021,1.0
Uganda,3/22/2020,1.0
Cook Islands,11/5/2021,1.0
Armenia,3/7/2020,1.0
